Title,Company,URL
Data Analyst con Power BI,GAT Gestión de Activos Turísticos,https://www.tecnoempleo.com/data-analyst-con-power-bi-gat-gestion-activos-turi/power-bi-sage-business-/rf-198616c05203436cf94e
iOS Developer,Accenture,https://www.tecnoempleo.com/ios-developer-accenture/swift-ios/rf-67cb1f1e021f7339a244
Junior Data Engineer,EY,https://www.tecnoempleo.com/junior-data-engineer-ey/powercenter-spark-python-java-r-sql/rf-e493179ef2acf3c76c42
Senior Solution Architect,BASF,https://www.tecnoempleo.com/senior-solution-architect-basf/sql-python-vue-fastapi/rf-8fd91b9c3205339e714b
Backend Developer,BASF,https://www.tecnoempleo.com/backend-developer-basf/java-python-spring/rf-9dd31b8a02d383661047
Hybrid Business Analyst / Scrum Master,Axiom Software Solutions,https://www.tecnoempleo.com/hybrid-business-analyst-scrum-master-axiom-softwar/scrum/rf-0c2a1572a25c9322a34f
SAP DATA Migration,HAYS,https://www.tecnoempleo.com/sap-data-migration-hays/sap-hana/rf-fdde1cd2a2c783ed7444
Analista PowerBI - SQL - Qliksense,Serem,https://www.tecnoempleo.com/analista-powerbi-sql-qliksense-serem/powerbi-sql-qliksense/rf-2bfa14e532332308ee41
Data Analyst,sg tech,https://www.tecnoempleo.com/data-analyst-sg-tech/python-spark-etl-sql/rf-842a1009c25ef3bf004e
Desarrollador/a Java,Grupo Digital,https://www.tecnoempleo.com/desarrollador-java-grupo-digital/java-spring-sql/rf-a7151852e2f5836ad74b
Líder Transformación digital,Michael Page,https://www.tecnoempleo.com/lider-transformacion-digital-michael-page/bi-sap/rf-10381a4ee28ae3190a47
Test Manager/ Lead,Axiom Software Solutions,https://www.tecnoempleo.com/test-manager-lead-axiom-software-solutions/power-bi-tableau-postman/rf-c0f41418028163c0514d
EWM MFS Consultant,Axiom Software Solutions,https://www.tecnoempleo.com/ewm-mfs-consultant-axiom-software-solutions/sap/rf-9f3b196bb2e843e1744c
Senior Backend Spark Developer,Axiom Software Solutions,https://www.tecnoempleo.com/senior-backend-spark-developer-axiom-software-solu/spark-scala-etl/rf-2b0612ef624cd38fc74c
